PC	IR	Acumulador
100	1800	0005
101	3800	0010
102	5800	0050
103	5800	0250
104	2801	0250
105	3801	0500
106	2803	0500
107	5803	250000
108	2803	250000
109	3802	250004
110	4802	250000
111	8100	250000
115	3800	250005
116	3119	252807
117	5800	1264035
118	5800	6320175
119	2802	6320175
120	1800	0005
121	3800	0010
122	2800	0010
123	9000	0010

PC	IR	Acumulador
100	1800	0005
101	3800	0010
102	5800	0050
103	5800	0250
104	2801	0250
105	3801	0500
106	2803	0500
107	5803	250000
108	2803	250000
109	3802	250004
110	4802	250000
111	8100	250000
115	3800	250005
116	3119	252807
117	5800	1264035
118	5800	6320175
119	2802	6320175
120	1800	0005
121	3800	0010
122	2800	0010
123	9000	0010

PC	IR	Acumulador
100	1800	0005
101	3800	0010
102	5800	0050
103	5800	0250
104	2801	0250
105	3801	0500
106	2803	0500
107	5803	250000
108	2803	250000
109	3802	250004
110	4802	250000
111	8100	250000
115	3800	250005
116	3119	252807
117	5800	1264035
118	5800	6320175
119	2802	6320175
120	1800	0005
121	3800	0010
122	2800	0010
123	9000	0010

PC	IR	Acumulador
100	1800	0005
101	3800	0010
102	5800	0050
103	5800	0250
104	2801	0250
105	3801	0500
106	2803	0500
107	5803	250000
108	2803	250000
109	3802	250004
110	4802	250000
111	8100	250000
115	3800	250005
116	3119	252807
117	5800	1264035
118	5800	6320175
119	2802	6320175
120	1800	0005
121	3800	0010
122	2800	0010
123	9000	0010

PC	IR	Acumulador
100	1800	0005
101	3800	0010
102	5800	0050
103	5800	0250
104	2801	0250
105	3801	0500
106	2803	0500
107	5803	250000
108	2803	250000
109	3802	250004
110	4802	250000
111	8100	250000
115	3800	250005
116	3119	252807
117	5800	1264035
118	5800	6320175
119	2802	6320175
120	1800	0005
121	3800	0010
122	2800	0010
123	9000	0010

